Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.19.172-172.31.2.3-60271-8080-6,172.31.2.3,8080,172.19.19.172,60271,6,22/04/2019 10:30:33 PM,645,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.77519379845,645.0,0.0,645.0,645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1550.387596899225,1550.387596899225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,986,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60260-8080-6,172.19.19.172,60260,172.31.2.3,8080,6,22/04/2019 10:30:31 PM,1868063,7,11,930.0,5071.0,517.0,0.0,132.85714285714286,200.82200126100773,1460.0,0.0,461.0,626.698651666014,3212.4184248604033,9.635649333025706,109886.05882352941,397003.79863854434,1647875.0,2.0,1867750.0,311291.6666666667,655822.8150989158,1647875.0,374.0,179171.0,17917.1,27254.042148520526,58201.0,2.0,0,0,0,0,140,244,3.74719696284333,5.888452370182376,0.0,1460.0,315.8421052631579,512.9115435062739,263078.2514619883,0,1,0,0,0,0,0,0,1.0,333.3888888888889,132.85714285714286,461.0,0,0,0,0,0,0,7,930,11,5071,-1,1009,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60267-8080-6,172.19.19.172,60267,172.31.2.3,8080,6,22/04/2019 10:30:31 PM,1798865,7,10,903.0,3498.0,521.0,0.0,129.0,202.94662680944793,1460.0,0.0,349.80000000000007,575.5709822042418,2446.5426810794584,9.450403448841353,112429.0625,208039.5488457163,683563.0,3.0,1798555.0,299759.1666666666,261675.75957999373,683563.0,122.0,1073199.0,119244.33333333333,178342.4708201891,377415.0,3.0,0,0,0,0,140,224,3.8913425965817336,5.55906085225962,0.0,1460.0,244.49999999999994,453.26946277281127,205453.20588235292,0,1,0,0,0,0,0,0,1.0,258.88235294117646,129.0,349.8,0,0,0,0,0,0,7,903,10,3498,-1,1009,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60250-8080-6,172.19.19.172,60250,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,2852229,8,15,1662.0,3701.0,738.0,0.0,207.75,283.2186182338402,1288.0,0.0,246.73333333333332,472.10084677302746,1880.2838061039279,8.063868644488224,129646.77272727272,376287.0720344764,1708277.0,0.0,2851859.0,407408.4285714286,603446.1299245794,1708277.0,1113.0,1143892.0,81706.57142857143,159699.6930894957,377072.0,0.0,0,0,0,0,160,324,2.80482387634373,5.259044768144493,0.0,1288.0,223.45833333333337,403.3464342404588,162688.34601449277,0,1,0,0,0,0,0,0,1.0,233.17391304347825,207.75,246.73333333333332,0,0,0,0,0,0,8,1662,15,3701,-1,910,4,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60252-8080-6,172.19.19.172,60252,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,2849347,8,15,2002.0,3703.0,1078.0,0.0,250.25,382.32549707583684,1288.0,0.0,246.86666666666667,472.3464023463329,2002.2131386594895,8.072024923605303,129515.77272727272,368350.02384247974,1658535.0,13.0,2848472.0,406924.5714285715,586243.3784956145,1658535.0,164.0,1190766.0,85054.71428571429,167867.85791230534,395864.0,13.0,0,0,0,0,160,324,2.807660842993149,5.264364080612155,0.0,1288.0,237.70833333333334,427.6216815553579,182860.3025362319,0,1,0,0,0,0,0,0,1.0,248.04347826086956,250.25,246.86666666666667,0,0,0,0,0,0,8,2002,15,3703,-1,905,4,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60249-8080-6,172.19.19.172,60249,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,2855567,11,19,1969.0,9446.0,1045.0,0.0,179.0,331.9186647358054,1460.0,0.0,497.1578947368421,641.9570999129576,3997.4547961928397,10.505794470940447,98467.8275862069,310203.2126729957,1594240.0,2.0,2855321.0,285532.10000000003,493802.40231616044,1594240.0,248.0,1221334.0,67851.8888888889,143918.2404038074,379664.0,2.0,0,0,0,0,220,404,3.8521246393448303,6.653669831595616,0.0,1460.0,368.2258064516129,558.7178005443905,312165.58064516133,0,1,0,0,0,0,0,0,1.0,380.5,179.0,497.1578947368421,0,0,0,0,0,0,11,1969,19,9446,-1,905,4,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60252-8080-6,172.31.2.3,8080,172.19.19.172,60252,6,22/04/2019 10:30:33 PM,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,905,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60249-8080-6,172.31.2.3,8080,172.19.19.172,60249,6,22/04/2019 10:30:33 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,905,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60250-8080-6,172.31.2.3,8080,172.19.19.172,60250,6,22/04/2019 10:30:33 PM,704,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.909090909091,704.0,0.0,704.0,704.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1420.4545454545455,1420.4545454545455,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,910,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60243-8080-6,172.19.19.172,60243,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,4733964,9,16,1507.0,4054.0,575.0,0.0,167.44444444444446,235.84216709014905,1460.0,0.0,253.375,494.294092620982,1174.7026382118663,5.280986505178324,197248.5,691959.269074416,3391173.0,1.0,4733661.0,591707.625,1145678.674038847,3391173.0,436.0,1301391.0,86759.40000000001,156152.57149559117,379597.0,1.0,0,0,0,0,180,344,1.9011551418641965,3.379831363314127,0.0,1460.0,213.88461538461533,409.8770866416493,167999.22615384613,0,1,0,0,0,0,0,0,1.0,222.44,167.44444444444446,253.375,0,0,0,0,0,0,9,1507,16,4054,-1,912,4,0,0,0,0,0,0,0,0,0,No Label
